,source sentence,source paragraph,Subject,Verb,Object
84,Proprioception refers to afferent information arising from internal peripheral areas.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",this sensory information,is called,afferent information
85,Proprioception refers to afferent information arising from internal peripheral areas.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",afferent information,refers to,signals that travel from the body's internal peripheral areas to the brain
86,"People often conceptualize three subsystems separately, but the paraspinal muscles are functionally interdependent.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",people,think,of three subsystems separately
87,"People often conceptualize three subsystems separately, but the paraspinal muscles are functionally interdependent.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",the paraspinal muscles,are,functionally interdependent
88,"Many individuals tend to conceptualize three subsystems separately, but the paraspinal muscles are functionally interdependent.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",many individuals,tend to conceptualize,three subsystems separately
89,"Many individuals tend to conceptualize three subsystems separately, but the paraspinal muscles are functionally interdependent.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",the paraspinal muscles,are,functionally interdependent
90,Disability focuses on what people cannot do.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",disability,is,a concept that centers around the limitations or restrictions of individuals
91,Disability focuses on what people cannot do.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",disability,emphasizes,the things that people are unable to do or struggle with due to people condition or impairment
92,"Physical activity imposes loads and movements onto the spine, which fluctuate.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",physical activity,involves,putting stress and strain on the spine
93,"Physical activity imposes loads and movements onto the spine, which fluctuate.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",stress and strain,cause,the spine to move in different ways
94,"Physical activity imposes loads and movements onto the spine, which fluctuate.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",movements of the spine,are,"not constant, but rather change or vary"
95,"The influence of loading in literature is dose-dependent, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the influence of loading in literature,is,dose-dependent
96,"The influence of loading in literature is dose-dependent, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",sedentary activities,are thought,to be detrimental
97,"The influence of loading in literature is dose-dependent, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",strenuous activities,are,also thought to be detrimental
98,The World Health Organization defines physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the world health organization,is,an international organization
99,The World Health Organization defines physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the world health organization,has,a definition for physical activity
100,Recreational activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",recreational activities,are,activities that people do for fun and enjoyment
101,Recreational activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",recreational activities,can include,different categories of physical activity
102,Physical activity is any bodily movement produced by skeletal muscle.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",physical activity,refers to,any bodily movement
103,Physical activity is any bodily movement produced by skeletal muscle.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",any bodily movement,is produced by,skeletal muscle
104,Fluctuating loads and movements are imposed onto the spine by physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",physical activity,imposes,loads and movements onto the spine
105,Fluctuating loads and movements are imposed onto the spine by physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",loads and movements,are,"not constant, but instead fluctuate"
106,Fluctuating loads and movements are imposed onto the spine by physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",fluctuating loads and movements,can have,an impact on the spine
107,The spine is subjected to fluctuating loads and movements by physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the spine,is,a part of the body that is subjected to various loads and movements
108,The spine is subjected to fluctuating loads and movements by physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",various loads and movements,are caused by,physical activity
109,The spine is subjected to fluctuating loads and movements by physical activity.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the spine,experiences,various loads and movements
110,Skeletal muscle produces bodily movement.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",skeletal muscle,is responsible for,producing bodily movement
111,Skeletal muscle produces bodily movement.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",bodily movement,is,a result of the actions of skeletal muscle
112,"Literature suggests that loading has a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",literature,suggests,that loading has a dose-dependent influence
113,"Literature suggests that loading has a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",sedentary activities,are thought,to be detrimental
114,"Literature suggests that loading has a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",strenuous activities,are,also thought to be detrimental
115,"Literature has shown that loading has a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",literature,has shown,that loading has a dose-dependent influence
116,"Literature has shown that loading has a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",sedentary activities,are thought,to be detrimental
117,"Literature has shown that loading has a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",strenuous activities,are,also thought to be detrimental
118,"Loading in literature has demonstrated a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",loading in literature,has shown,that it has an impact that depends on the dose
119,"Loading in literature has demonstrated a dose-dependent influence, where both sedentary and strenuous activities are thought to be detrimental.","Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",sedentary and strenuous activities,are believed to have,negative effects
120,The concept of physical activity focuses on what people are able to do or actually do in daily living.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the concept of physical activity,is,about what people are able to do or actually do in people daily lives
121,The concept of physical activity focuses on what people are able to do or actually do in daily living.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the concept of physical activity,emphasizes,the actions and abilities of individuals in terms of physical movement
122,The concept of physical activity focuses on what people are able to do or actually do in daily living.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the concept of physical activity,encompasses,both the potential and actual engagement in physical activities
123,The concept of physical activity focuses on what people are able to do or actually do in daily living.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",the concept of physical activity,is concerned with,the activities that people perform as part of people everyday routines
124,Occupational activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",occupational activities,refer to,the tasks and responsibilities that people perform in people jobs
125,Occupational activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",tasks and responsibilities,perform,various categories of physical activity
126,Occupational activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",physical activity categories,can include,tasks that require physical exertion or movement
127,Occupational activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",examples of physical activity categories in occupational activities,may include,"lifting heavy objects, walking or standing for long periods, or operating machinery"
128,Sports-related activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",sports-related activities,refer to,activities that are related to sports
129,Sports-related activities may include physical activity categories.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",activities,may include,different categories of physical activity
130,Bodily movement results in a substantial increase over the resting energy expenditure.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",bodily movement,refers to,any physical activity or exercise that involves the movement of the body
131,Bodily movement results in a substantial increase over the resting energy expenditure.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",resting energy expenditure,is,the amount of energy or calories that the body burns while at rest
132,Bodily movement results in a substantial increase over the resting energy expenditure.,"Physical activity imposes fluctuating loads and movements onto the spine. Literature has demonstrated a dose-dependent influence of loading, where both sedentary and strenuous activities are thought to be detrimental. Physical activity categories may include occupational, recreational, and sports related. The World Health Organization defines physical activity as any bodily movement produced by skeletal muscle that results in a substantial increase over the resting energy expenditure. Where disability focuses on what people cannot do, the concept of physical activity focuses on what people are able to do or actually do in daily living.",there,is,a significant increase in the amount of energy that the body burns compared to when the body is at rest
133,Fear of reinjury leads to deconditioning.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",fear of reinjury,is,a feeling of being afraid that a previous injury might happen again
134,Fear of reinjury leads to deconditioning.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",deconditioning,refers to,a decrease in physical fitness or strength
135,Fear of reinjury leads to deconditioning.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",fear of reinjury,can cause,deconditioning
136,The fear-avoidance or avoidance-endurance models hypothesize that patients avoid activities.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",the fear-avoidance model,suggests,that patients avoid activities
137,The fear-avoidance or avoidance-endurance models hypothesize that patients avoid activities.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",the avoidance-endurance model,suggests,that patients avoid activities
